Potential vs. RHE [V],Current [A]
0.06963600584173812,-0.00030954315948486326
0.07010473152254156,-0.00031122649841308593
0.07055421278767063,-0.0003099743041992187
0.07100759165597426,-0.0003093332107543946
0.07146291932586517,-0.0003089807968139648
0.07193213220706542,-0.00031078410644531246
0.07237235666465493,-0.00030810351104736323
0.0728471723504186,-0.0003107766082763672
0.07329835881693654,-0.00030977560272216795
0.07376245609397018,-0.0003107728591918945
0.07421705296326586,-0.00031030797271728515
0.07467798343772018,-0.00031081409912109373
0.07513136230602381,-0.0003102104965209961
0.07559204918027973,-0.0003106903793334961
0.07604615884917859,-0.0003101317657470703
0.07650562772244246,-0.0003104466888427735
0.07696266059372223,-0.00031035671081542976
0.0774221294669861,-0.0003106603866577149
0.07787867513786904,-0.0003105104232788086
0.07833716961033928,-0.00031065288848876956
0.07879468968201586,-0.0003106416412353516
0.07925220975369246,-0.0003106378921508789
0.0797109478263611,-0.00031072037200927734
0.08016846789803768,-0.000310712873840332
0.08062964197269042,-0.0003112602401733398
0.081087162044367,-0.0003112452438354492
0.08154906691961497,-0.0003119013336181641
0.08200634339109315,-0.0003118563446044922
0.0824475422494763,-0.0003093257125854492
0.08291772953147018,-0.00031126773834228515
0.08336160799203583,-0.0003091382583618164
0.08381303805875219,-0.00030817849273681645
0.08428517414233336,-0.0003103904525756836
0.08473538620805766,-0.0003092919708251953
0.08518803427576606,-0.00030852340850830075
0.08563970794268082,-0.00030760113372802736
0.08611598522963494,-0.00031047668151855466
0.0865574276882165,-0.000307976042175293
0.08701616576088514,-0.0003081559982299805
0.08748148103891083,-0.00030932571258544925
0.08794387311455562,-0.00031006053314208985
0.08840041878543857,-0.00030988057708740234
0.08885574645532948,-0.0003095244140625
0.08931740773037904,-0.00031012801666259764
0.08977517140225404,-0.00031014676208496097
0.09021490865944672,-0.00030740243225097657
0.09068119833826606,-0.0003087258590698242
0.09114164161232356,-0.0003091570037841797
0.09159940528419856,-0.00030916825103759774
0.09205765615647038,-0.0003092769744873047
0.09251444542755174,-0.00030913825836181635
0.0929761067026013,-0.00030975310821533205
0.09342899837050811,-0.0003090145385742188
0.09389114684595448,-0.00030970062103271483
0.0943442821140597,-0.0003090295349121094
0.0948071613901013,-0.0003098393371582031
0.09525786065622242,-0.00030876709899902344
0.0957229323340497,-0.00030992556610107423
0.09617679840275015,-0.00030934445800781253
0.09663870327799812,-0.00030998930053710935
0.09709013334471446,-0.0003090520294189453
0.09753230660389126,-0.00030667136077880863
0.097998839882909,-0.0003080397766113281
0.09845830875617287,-0.00030832470703124996
0.09891777762943674,-0.00030860588836669915
0.0993750541009149,-0.0003084784194946289
0.09983403577378196,-0.0003086808700561524
0.10028985064406969,-0.0003083959396362304
0.10074980671773037,-0.0003087408554077149
0.10120464718722445,-0.0003083097106933594
0.10166338525989309,-0.0003084746704101562
0.10212017453097445,-0.00030833970336914063
0.10258232300642083,-0.0003090182876586914
0.103034240273534,-0.00030813350372314456
0.10349687594937719,-0.00030888332061767583
0.10394879321649036,-0.0003079910385131836
0.10441167249253196,-0.000308827084350586
0.10486115375766103,-0.0003075636428833008
0.10532646903568674,-0.0003087371063232422
0.10577984790399036,-0.0003080772674560547
0.1062415091790399,-0.00030867712097167965
0.10669561884793877,-0.0003081485000610351
0.10715557492159945,-0.0003085009140014648
0.10761065899129195,-0.00030810726013183595
0.10806744826237331,-0.00030796104583740233
0.10852667353543877,-0.00030820098724365234
0.10898492440771058,-0.00030824222717285157
0.10944268807958558,-0.00030826097259521485
0.10990020815126218,-0.0003082384780883789
0.11035918982412922,-0.0003084371795654297
0.11081500469441695,-0.0003081447509765625
0.11127471716787922,-0.00030844842681884764
0.11172005722963534,-0.00030656263732910157
0.1121741668985342,-0.0003060115219116211
0.11262559696525054,-0.00030503301086425775
0.11310333585339513,-0.00030812975463867184
0.11355525312050829,-0.0003072224761962891
0.1140178887963515,-0.00030801728210449217
0.11446761366167897,-0.0003067913314819336
0.11493292893970466,-0.00030797229309082033
0.11538582060761148,-0.0003072374725341797
0.11584796908305785,-0.0003079198059082031
0.11630207875195671,-0.0003073836868286133
0.11676398362720466,-0.00030803227844238283
0.11721882409669876,-0.00030759363555908203
0.11767878017035945,-0.00030796104583740233
0.11813946704461536,-0.0003084184341430664
0.11858358910537942,-0.0003063414413452149
0.1190459811810242,-0.0003069787857055664
0.1195039884530976,-0.00030703127288818355
0.11995468771921873,-0.00030594403839111326
0.12040782298732396,-0.0003052542068481445
0.12088068987150034,-0.0003075786392211914
0.12133674834198648,-0.0003073386978149414
0.12180035841862331,-0.00030823097991943357
0.12225568608851421,-0.0003078598205566406
0.12271320616019081,-0.0003078260787963867
0.12315269981718509,-0.00030502176361083986
0.12361655349402033,-0.0003059852783203125
0.12408211237224444,-0.0003071962326049805
0.12452940123558781,-0.0003055803771972656
0.12497717729932803,-0.0003040582489013672
0.12545905739084556,-0.00030777359161376954
0.1259124362591492,-0.00030710250549316405
0.1263721487326115,-0.00030742117767333985
0.12681066798881213,-0.0003044594009399414
0.12728475287398056,-0.00030696753845214843
0.12774105494466512,-0.00030674634246826175
0.12820222901931785,-0.0003072674652099609
0.12865024868325645,-0.0003057903259277344
0.12910265315076644,-0.0003049730255126953
0.12956991723037942,-0.00030644641571044923
0.13002621930106395,-0.0003062289688110351
0.13049080377849442,-0.0003072862106323242
0.13094808024997262,-0.00030721872711181645
0.13138635590597483,-0.0003042382049560547
0.13185654318796874,-0.00030615398712158205
0.13230772965448667,-0.0003051454833984375
0.13275648011902053,-0.000303754573059082
