
Index	Potential applied (V)	Time (s)	WE(1).Current (A)	Column 5 (V/s)	Scan	WE(1).Potential (V)
8032	0.3741455078125	739.248813133576	-0.000108734130859375		2	0.373809814453125
8033	0.373687744140625	739.340366133345	-0.00010870361328125		2	0.37335205078125
8034	0.37322998046875	739.431919133114	-0.00010870361328125		2	0.372894287109375
8035	0.372772216796875	739.523472132883	-0.00010870361328125		2	0.372406005859375
8036	0.372314453125	739.615025132652	-0.000108734130859375		2	0.371978759765625
8037	0.371856689453125	739.70657813242	-0.000108673095703125		2	0.371551513671875
8038	0.37139892578125	739.798131132189	-0.00010870361328125		2	0.37109375
8039	0.370941162109375	739.889684131958	-0.00010858154296875		2	0.370635986328125
8040	0.3704833984375	739.981237131727	-0.000108551025390625		2	0.370147705078125
8041	0.370025634765625	740.072790131496	-0.000108551025390625		2	0.369720458984375
8042	0.36956787109375	740.164343131265	-0.0001085205078125		2	0.369232177734375
8043	0.369110107421875	740.255896131034	-0.0001085205078125		2	0.3687744140625
8044	0.36865234375	740.347449130802	-0.000108489990234375		2	0.368316650390625
8045	0.368194580078125	740.439002130571	-0.0001085205078125		2	0.367828369140625
8046	0.36773681640625	740.53055513034	-0.000108551025390625		2	0.367431640625
8047	0.367279052734375	740.622108130109	-0.000108489990234375		2	0.366943359375
8048	0.3668212890625	740.713661129878	-0.000108489990234375		2	0.366485595703125
8049	0.366363525390625	740.805214129647	-0.000108489990234375		2	0.3660888671875
8050	0.36590576171875	740.896767129415	-0.000108612060546875		2	0.36553955078125
8051	0.365447998046875	740.988320129184	-0.000108551025390625		2	0.365142822265625
8052	0.364990234375	741.079873128953	-0.000108489990234375		2	0.364654541015625
8053	0.364532470703125	741.171426128722	-0.00010845947265625		2	0.364227294921875
8054	0.36407470703125	741.262979128491	-0.000108428955078125		2	0.36376953125
8055	0.363616943359375	741.35453212826	-0.00010845947265625		2	0.363311767578125
8056	0.3631591796875	741.446085128029	-0.00010845947265625		2	0.362823486328125
8057	0.362701416015625	741.537638127797	-0.0001083984375		2	0.36236572265625
8058	0.36224365234375	741.629191127566	-0.0001083984375		2	0.3619384765625
8059	0.361785888671875	741.720744127335	-0.00010833740234375		2	0.361480712890625
8060	0.361328125	741.812297127104	-0.000108367919921875		2	0.360992431640625
8061	0.360870361328125	741.903850126873	-0.00010797119140625		2	0.360595703125
8062	0.36041259765625	741.995403126642	-0.0001080322265625		2	0.360107421875
8063	0.359954833984375	742.086956126411	-0.000108062744140625		2	0.359619140625
8064	0.3594970703125	742.178509126179	-0.0001080322265625		2	0.35919189453125
8065	0.359039306640625	742.270062125948	-0.000108001708984375		2	0.358734130859375
8066	0.35858154296875	742.361615125717	-0.000108062744140625		2	0.358245849609375
8067	0.358123779296875	742.453168125486	-0.000108062744140625		2	0.35784912109375
8068	0.357666015625	742.544721125255	-0.000108001708984375		2	0.357421875
8069	0.357208251953125	742.636274125024	-0.000108001708984375		2	0.356964111328125
8070	0.35675048828125	742.727827124793	-0.000108001708984375		2	0.356475830078125
8071	0.356292724609375	742.819380124561	-0.000108154296875		2	0.355987548828125
8072	0.3558349609375	742.91093312433	-0.00010809326171875		2	0.355560302734375
8073	0.355377197265625	743.002486124099	-0.000108001708984375		2	0.3551025390625
