
Index	Potential applied (V)	Time (s)	WE(1).Current (A)	WE(2).Current (A)	Scan	WE(1).Potential (V)
1	0.050506591796875	22.9665159420151	-0.00132293701171875	3.33648681640625E-05	1	
2	0.05096435546875	23.058068941784	-0.0013189697265625	3.39263916015625E-05	1	
3	0.051422119140625	23.1496219415528	-0.0013037109375	3.3392333984375E-05	1	
4	0.0518798828125	23.2411749413217	-0.0013031005859375	3.37799072265625E-05	1	
5	0.052337646484375	23.3327279410905	-0.00129150390625	3.3441162109375E-05	1	
6	0.05279541015625	23.4242809408594	-0.00129302978515625	3.3782958984375E-05	1	
7	0.053253173828125	23.5158339406282	-0.00128265380859375	3.34442138671875E-05	1	
8	0.0537109375	23.6073869403971	-0.0012847900390625	3.39202880859375E-05	1	
9	0.054168701171875	23.6989399401659	-0.00127655029296875	3.38165283203125E-05	1	
10	0.05462646484375	23.7904929399348	-0.00127899169921875	3.35784912109375E-05	1	
11	0.055084228515625	23.8820459397036	-0.00127227783203125	3.36578369140625E-05	1	
12	0.0555419921875	23.9735989394725	-0.00127471923828125	3.36578369140625E-05	1	
13	0.055999755859375	24.0651519392413	-0.00127044677734375	3.37432861328125E-05	1	
14	0.05645751953125	24.1567049390102	-0.0012713623046875	3.3734130859375E-05	1	
15	0.056915283203125	24.248257938779	-0.00126922607421875	3.377685546875E-05	1	
16	0.057373046875	24.3398109385479	-0.00126922607421875	3.3758544921875E-05	1	
17	0.057830810546875	24.4313639383167	-0.00126861572265625	3.377685546875E-05	1	
18	0.05828857421875	24.5229169380856	-0.00126708984375	3.392333984375E-05	1	
19	0.058746337890625	24.6144699378544	-0.00126861572265625	3.38958740234375E-05	1	
20	0.0592041015625	24.7060229376233	-0.00126556396484375	3.36761474609375E-05	1	
21	0.059661865234375	24.7975759373921	-0.00126800537109375	3.4014892578125E-05	1	
22	0.06011962890625	24.889128937161	-0.00126373291015625	3.33831787109375E-05	1	
23	0.060577392578125	24.9806819369298	-0.00126708984375	3.4002685546875E-05	1	
24	0.06103515625	25.0722349366987	-0.0012628173828125	3.36669921875E-05	1	
25	0.061492919921875	25.1637879364675	-0.00126708984375	3.41217041015625E-05	1	
26	0.06195068359375	25.2553409362364	-0.0012615966796875	3.36029052734375E-05	1	
27	0.062408447265625	25.3468939360052	-0.00126617431640625	3.39019775390625E-05	1	
28	0.0628662109375	25.4384469357741	-0.00126007080078125	3.3642578125E-05	1	
29	0.063323974609375	25.5299999355429	-0.00126434326171875	3.3819580078125E-05	1	
30	0.06378173828125	25.6215529353118	-0.00125732421875	3.35174560546875E-05	1	
31	0.064239501953125	25.7131059350806	-0.0012628173828125	3.39599609375E-05	1	
32	0.064697265625	25.8046589348495	-0.0012567138671875	3.3880615234375E-05	1	
33	0.065155029296875	25.8962119346184	-0.00126190185546875	3.41217041015625E-05	1	
34	0.06561279296875	25.9877649343872	-0.001256103515625	3.38470458984375E-05	1	
35	0.066070556640625	26.0793179341561	-0.00126007080078125	3.41766357421875E-05	1	
36	0.0665283203125	26.1708709339249	-0.00125457763671875	3.380126953125E-05	1	
37	0.066986083984375	26.2624239336938	-0.00125885009765625	3.39080810546875E-05	1	
38	0.06744384765625	26.3539769334626	-0.001253662109375	3.3880615234375E-05	1	
39	0.067901611328125	26.4455299332315	-0.00125579833984375	3.4002685546875E-05	1	
40	0.068359375	26.5370829330003	-0.0012542724609375	3.40484619140625E-05	1	
41	0.068817138671875	26.6286359327692	-0.0012554931640625	3.39996337890625E-05	1	
42	0.06927490234375	26.720188932538	-0.0012548828125	3.411865234375E-05	1	
43	0.069732666015625	26.8117419323069	-0.00125640869140625	3.3843994140625E-05	1	
44	0.0701904296875	26.9032949320757	-0.001256103515625	3.39324951171875E-05	1	
45	0.070648193359375	26.9948479318446	-0.0012548828125	3.39691162109375E-05	1	
46	0.07110595703125	27.0864009316134	-0.001256103515625	3.3917236328125E-05	1	
47	0.071563720703125	27.1779539313823	-0.001253662109375	3.3642578125E-05	1	
48	0.072021484375	27.2695069311511	-0.001256103515625	3.43292236328125E-05	1	
49	0.072479248046875	27.36105993092	-0.00125244140625	3.39263916015625E-05	1	
50	0.07293701171875	27.4526129306888	-0.001256103515625	3.41217041015625E-05	1	
51	0.073394775390625	27.5441659304577	-0.001251220703125	3.369140625E-05	1	
52	0.0738525390625	27.6357189302265	-0.00125579833984375	3.4246826171875E-05	1	
53	0.074310302734375	27.7272719299954	-0.0012506103515625	3.39630126953125E-05	1	
54	0.07476806640625	27.8188249297642	-0.0012554931640625	3.41644287109375E-05	1	
55	0.075225830078125	27.9103779295331	-0.0012493896484375	3.4149169921875E-05	1	
56	0.07568359375	28.0019309293019	-0.00125457763671875	3.42987060546875E-05	1	
57	0.076141357421875	28.0934839290708	-0.00124786376953125	3.408203125E-05	1	
58	0.07659912109375	28.1850369288396	-0.0012530517578125	3.43994140625E-05	1	
59	0.077056884765625	28.2765899286085	-0.00124664306640625	3.409423828125E-05	1	
60	0.0775146484375	28.3681429283773	-0.00125152587890625	3.42315673828125E-05	1	
61	0.077972412109375	28.4596959281462	-0.001246337890625	3.42559814453125E-05	1	
62	0.07843017578125	28.551248927915	-0.00125	3.409423828125E-05	1	
63	0.078887939453125	28.6428019276839	-0.00124481201171875	3.392333984375E-05	1	
64	0.079345703125	28.7343549274527	-0.0012481689453125	3.44512939453125E-05	1	
65	0.079803466796875	28.8259079272216	-0.00124481201171875	3.39813232421875E-05	1	
66	0.08026123046875	28.9174609269904	-0.00124725341796875	3.45062255859375E-05	1	
