Potential vs. RHE [V],Current [A]
0.069732666015625,-0.001230316162109375
0.0701904296875,-0.0012313842773437498
0.070648193359375,-0.001230316162109375
0.07110595703125,-0.00122955322265625
0.071563720703125,-0.001229248046875
0.072021484375,-0.001228790283203125
0.072479248046875,-0.001229095458984375
0.07293701171875,-0.001227569580078125
0.073394775390625,-0.001228179931640625
0.0738525390625,-0.001226043701171875
0.074310302734375,-0.0012275695800781248
0.07476806640625,-0.0012243652343750001
0.075225830078125,-0.00122650146484375
0.07568359375,-0.0012246704101562499
0.076141357421875,-0.00122589111328125
0.07659912109375,-0.00122283935546875
0.077056884765625,-0.0012249755859375
0.0775146484375,-0.00122222900390625
0.077972412109375,-0.001224517822265625
0.07843017578125,-0.00122161865234375
0.078887939453125,-0.001222991943359375
0.079345703125,-0.001221160888671875
0.079803466796875,-0.001221923828125
0.08026123046875,-0.001220550537109375
0.080718994140625,-0.0012205505371093751
0.0811767578125,-0.001219635009765625
0.081634521484375,-0.00121917724609375
0.08209228515625,-0.00121978759765625
0.082550048828125,-0.00121917724609375
0.0830078125,-0.00121917724609375
0.083465576171875,-0.001218414306640625
0.08392333984375,-0.00121917724609375
0.084381103515625,-0.0012174987792968749
0.0848388671875,-0.00121826171875
0.085296630859375,-0.001216888427734375
0.08575439453125,-0.001218109130859375
0.086212158203125,-0.001215972900390625
0.086669921875,-0.001217498779296875
0.087127685546875,-0.001215362548828125
0.08758544921875,-0.0012165832519531248
0.088043212890625,-0.001214599609375
0.0885009765625,-0.0012167358398437501
0.088958740234375,-0.00121490478515625
0.08941650390625,-0.0012162780761718751
0.089874267578125,-0.001214752197265625
0.09033203125,-0.0012158203125
0.090789794921875,-0.001214447021484375
0.09124755859375,-0.001214752197265625
0.091705322265625,-0.0012142944335937502
0.0921630859375,-0.0012142944335937502
0.092620849609375,-0.001213531494140625
0.09307861328125,-0.001212615966796875
0.093536376953125,-0.0012127685546875
0.093994140625,-0.001212310791015625
0.094451904296875,-0.001212005615234375
0.09490966796875,-0.001211090087890625
0.095367431640625,-0.001212005615234375
0.0958251953125,-0.001210174560546875
0.096282958984375,-0.001210784912109375
0.09674072265625,-0.001209259033203125
0.097198486328125,-0.001210479736328125
0.09765625,-0.0012086486816406251
0.098114013671875,-0.001209869384765625
0.09857177734375,-0.001208038330078125
0.099029541015625,-0.0012091064453125
0.0994873046875,-0.001207733154296875
0.099945068359375,-0.0012091064453125001
0.10040283203125,-0.0012075805664062498
0.100860595703125,-0.00120849609375
0.101318359375,-0.001207275390625
0.101776123046875,-0.0012078857421875
0.10223388671875,-0.001207275390625
0.102691650390625,-0.00120758056640625
0.1031494140625,-0.00120697021484375
0.103607177734375,-0.001206817626953125
0.10406494140625,-0.001206512451171875
0.104522705078125,-0.001205902099609375
0.10498046875,-0.0012057495117187502
0.105438232421875,-0.0012048339843750001
0.10589599609375,-0.0012062072753906252
0.106353759765625,-0.001204986572265625
0.1068115234375,-0.001204986572265625
0.107269287109375,-0.00120330810546875
0.10772705078125,-0.00120513916015625
0.108184814453125,-0.00120330810546875
0.108642578125,-0.00120391845703125
0.109100341796875,-0.001201934814453125
0.10955810546875,-0.001203155517578125
0.110015869140625,-0.0012019348144531252
0.1104736328125,-0.001203155517578125
0.110931396484375,-0.0012014770507812501
0.11138916015625,-0.001202545166015625
0.111846923828125,-0.001201324462890625
0.1123046875,-0.0012017822265624999
0.112762451171875,-0.0012010192871093751
0.11322021484375,-0.0012017822265624999
0.113677978515625,-0.001201324462890625
0.1141357421875,-0.0012014770507812501
0.114593505859375,-0.0012005615234375
0.11505126953125,-0.001200408935546875
0.115509033203125,-0.00119964599609375
0.115966796875,-0.00119873046875
0.116424560546875,-0.001198272705078125
0.11688232421875,-0.0011981201171875002
0.117340087890625,-0.00119781494140625
0.1177978515625,-0.001197357177734375
0.118255615234375,-0.0011975097656249998
0.11871337890625,-0.0011965942382812498
0.119171142578125,-0.001197052001953125
0.11962890625,-0.001195831298828125
0.120086669921875,-0.001196441650390625
0.12054443359375,-0.001195526123046875
0.121002197265625,-0.00119598388671875
0.1214599609375,-0.001195831298828125
0.121917724609375,-0.0011962890625
0.12237548828125,-0.001195220947265625
0.122833251953125,-0.00119537353515625
0.123291015625,-0.0011947631835937502
0.123748779296875,-0.00119537353515625
0.12420654296875,-0.0011947631835937502
0.124664306640625,-0.0011946105957031249
0.1251220703125,-0.00119415283203125
0.125579833984375,-0.0011943054199218752
0.12603759765625,-0.0011938476562500001
0.126495361328125,-0.001193389892578125
0.126953125,-0.001193695068359375
0.127410888671875,-0.00119293212890625
0.12786865234375,-0.0011920166015625
0.128326416015625,-0.001190948486328125
0.1287841796875,-0.001190948486328125
0.129241943359375,-0.001190643310546875
0.12969970703125,-0.00119049072265625
0.130157470703125,-0.0011903381347656249
0.130615234375,-0.0011909484863281252
0.131072998046875,-0.0011909484863281252
0.13153076171875,-0.0011904907226562502
0.131988525390625,-0.001189117431640625
0.1324462890625,-0.00118896484375
0.132904052734375,-0.001189117431640625
0.13336181640625,-0.001189117431640625
0.133819580078125,-0.001189727783203125
0.13427734375,-0.001189117431640625
0.134735107421875,-0.00118927001953125
0.13519287109375,-0.00118865966796875
0.135650634765625,-0.001188812255859375
0.1361083984375,-0.001188201904296875
0.136566162109375,-0.001188507080078125
0.13702392578125,-0.001187896728515625
0.137481689453125,-0.001187896728515625
0.137939453125,-0.001187744140625
0.138397216796875,-0.0011871337890625
0.13885498046875,-0.00118682861328125
0.139312744140625,-0.0011862182617187501
0.1397705078125,-0.0011865234374999999
