index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
670	0.3875048567129212	-1.2153320312499998	0.0550689697265625
671	0.3879548737668555	-1.2150115966796877	0.05497741699218749
672	0.3884023086148096	-1.2145843505859375	0.0549774169921875
673	0.38886413003893927	-1.214752197265625	0.05485534667968749
674	0.3893134093197364	-1.2144012451171875	0.05511474609375
675	0.3897674841259254	-1.2142486572265625	0.0548095703125
676	0.3902108612216249	-1.213653564453125	0.0549774169921875
677	0.3906763715114405	-1.2139739990234375	0.05484008789062501
678	0.39111901083400286	-1.213348388671875	0.05484008789062501
679	0.3915830455775441	-1.2136077880859375	0.0548858642578125
680	0.3920275293329494	-1.2130584716796875	0.0548248291015625
681	0.3924849241182558	-1.2130432128906252	0.05474853515625
682	0.3929253501214065	-1.2123260498046875	0.05473327636718749
683	0.39339049152465355	-1.2126312255859377	0.05484008789062501
684	0.39383829525917624	-1.21221923828125	0.0546722412109375
685	0.39429974779673727	-1.212371826171875	0.05484008789062501
686	0.3947320582953787	-1.2113189697265627	0.05459594726562501
687	0.3951994130180374	-1.2117156982421877	0.05471801757812501
688	0.3956309857435416	-1.21063232421875	0.0544586181640625
689	0.3960990782393375	-1.2110595703125	0.054656982421875
690	0.39654061090219395	-1.21038818359375	0.05462646484375
691	0.39699505459495155	-1.2102508544921875	0.05459594726562501
692	0.397429209526436	-1.2092742919921875	0.05426025390625
693	0.3978781199206645	-1.2089080810546875	0.05473327636718749
694	0.3983203903566582	-1.2082672119140627	0.05422973632812501
695	0.3987814740076506	-1.208404541015625	0.0544891357421875
696	0.39922743330933036	-1.207916259765625	0.05438232421875
697	0.39968150811551933	-1.2077636718750002	0.05447387695312501
698	0.40012414743808167	-1.2071380615234373	0.0543060302734375
699	0.400574164492016	-1.206817626953125	0.0546112060546875
700	0.4010175415877155	-1.2062225341796875	0.054290771484375
701	0.40146165645655224	-1.205657958984375	0.05450439453125
702	0.40192458454038765	-1.20587158203125	0.054290771484375
703	0.4023720193883418	-1.2054443359375	0.05427551269531251
704	0.402837898564726	-1.205780029296875	0.0543060302734375
705	0.4032783245678767	-1.2050628662109375	0.0542755126953125
706	0.40374088376514355	-1.20526123046875	0.054168701171875
707	0.4041702431712362	-1.2040863037109375	0.05413818359375
708	0.4046305890490914	-1.2041931152343748	0.05415344238281251
709	0.40505773513577237	-1.2029266357421875	0.054168701171875
710	0.4055202943330392	-1.203125	0.0540618896484375
711	0.40596957361383634	-1.2027740478515625	0.0542449951171875
712	0.4064428305215927	-1.2034149169921875	0.05426025390625
713	0.4068777232262143	-1.2024688720703125	0.0540618896484375
714	0.40734655349514737	-1.2029266357421873	0.0542144775390625
715	0.40778292174604347	-1.2020416259765625	0.05413818359375
716	0.40825580976723114	-1.202667236328125	0.0542449951171875
717	0.4086958668838132	-1.201934814453125	0.053955078125
718	0.40915658164823704	-1.202056884765625	0.05412292480468749
719	0.40960327872305397	-1.20159912109375	0.05378723144531251
720	0.4100639934874778	-1.20172119140625	0.05413818359375
721	0.4105044194906285	-1.2010040283203123	0.05386352539062501
722	0.4109655031416209	-1.2011413574218748	0.05389404296875
723	0.41139965807310536	-1.2001647949218748	0.05375671386718749
724	0.4118515195598827	-1.1999206542968752	0.05403137207031251
725	0.41229674108842523	-1.19940185546875	0.05378723144531251
726	0.4127626202648095	-1.199737548828125	0.0538482666015625
727	0.4132111617724694	-1.1993560791015625	0.05364990234375
728	0.41366486769208977	-1.199188232421875	0.05386352539062501
729	0.41411488474602415	-1.1988677978515625	0.0537261962890625
730	0.4145615818208411	-1.1984100341796875	0.053680419921875
731	0.4150104922150696	-1.1980438232421875	0.05363464355468749
732	0.4154535004242005	-1.1974334716796873	0.0536956787109375
733	0.41590757523038946	-1.1972808837890625	0.05366516113281251
734	0.4163450501409913	-1.1964416503906248	0.0536041259765625
735	0.4168028138128663	-1.196441650390625	0.05363464355468749
736	0.41724545313542866	-1.1958160400390625	0.053680419921875
737	0.4177069056729897	-1.1959686279296875	0.0534515380859375
738	0.41814585612986593	-1.1951904296875	0.053680419921875
739	0.4186154241719362	-1.1956787109375	0.0536346435546875
740	0.4190499479899893	-1.1947174072265625	0.0534210205078125
741	0.41951508939323634	-1.1950225830078125	0.0536041259765625
742	0.419946293232172	-1.1939239501953125	0.05340576171875
743	0.42040553245032136	-1.1939849853515625	0.0535736083984375
744	0.42084669622660925	-1.1932983398437498	0.053436279296875
745	0.4213129442895621	-1.1936492919921875	0.05351257324218749
746	0.4217537391792814	-1.1929473876953123	0.0533599853515625
747	0.42222220056164583	-1.1933898925781248	0.0533447265625
748	0.4226633643379338	-1.1927032470703127	0.053314208984375
749	0.42312666130833776	-1.1929321289062498	0.053436279296875
750	0.42356634953835126	-1.1921844482421877	0.05328369140625
751	0.4240296465087553	-1.192413330078125	0.0533447265625
752	0.42446970362533737	-1.191680908203125	0.053131103515625
753	0.4249330005957414	-1.1919097900390625	0.053375244140625
754	0.4253771154645781	-1.19134521484375	0.0531463623046875
