index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
0	0.0854785018157952	-1.4087234497070313	0.05218505859375
1	0.08565414104000305	-1.3970535278320313	0.0518798828125
2	0.08589448296834377	-1.3880599975585937	0.05206298828125
3	0.08615212567675196	-1.3797821044921874	0.051910400390625
4	0.08646377337880354	-1.3737380981445313	0.05197143554687499
5	0.08676988778232608	-1.3674652099609377	0.0518646240234375
6	0.08711676415167918	-1.36287841796875	0.0519561767578125
7	0.08745910321623848	-1.3581039428710937	0.0515899658203125
8	0.08784024914781477	-1.3549346923828125	0.0518951416015625
9	0.08821988264445976	-1.351702880859375	0.051910400390625
10	0.08862378887731881	-1.34947509765625	0.0519866943359375
11	0.08903149464183446	-1.3474044799804688	0.052032470703125
12	0.08945672251835873	-1.3460586547851563	0.05204772949218749
13	0.08987970018681452	-1.3446197509765625	0.0520477294921875
14	0.09029802988450593	-1.3429885864257813	0.0520172119140625
15	0.09073568923839209	-1.342156982421875	0.05204772949218749
16	0.09115826113162243	-1.3407012939453125	0.052154541015625
17	0.09159400227535186	-1.3397903442382812	0.05194091796875
18	0.09201063509482768	-1.3380889892578123	0.05209350585937499
19	0.09246065214876203	-1.3377685546875	0.0520477294921875
20	0.09288189605034539	-1.3362579345703125	0.05207824707031251
21	0.09333781528937737	-1.336181640625	0.0519866943359375
22	0.09377381465370484	-1.3352813720703125	0.0521392822265625
23	0.09422973389273684	-1.335205078125	0.051788330078125
24	0.09465835552569224	-1.3339996337890625	0.05194091796875
25	0.09511021701246959	-1.3337554931640623	0.0520172119140625
26	0.09553514977973898	-1.3323974609375	0.052154541015625
27	0.09599586454416281	-1.33251953125	0.0519866943359375
28	0.09643370834133327	-1.331695556640625	0.0521392822265625
29	0.09689700531173731	-1.3319244384765625	0.05218505859375
30	0.09733189801635894	-1.3309783935546873	0.05209350585937499
31	0.09779814607931181	-1.3313293457031252	0.05224609375
32	0.09825111422579498	-1.3311309814453125	0.05245971679687499
33	0.09871478008276763	-1.3313751220703127	0.0523223876953125
34	0.09915114833366367	-1.3304901123046875	0.05218505859375
35	0.09962145414887116	-1.3310089111328125	0.0524444580078125
36	0.10006593790427648	-1.3304595947265625	0.0522003173828125
37	0.10053181708066072	-1.3307952880859375	0.0522918701171875
38	0.10096892310469399	-1.3299407958984375	0.0522613525390625
39	0.10144033557960727	-1.33050537109375	0.052490234375
40	0.10189256595295323	-1.3302764892578125	0.05220031738281251
41	0.10234000080090738	-1.3298492431640625	0.05244445800781251
42	0.1027852223294499	-1.3293304443359375	0.05220031738281251
43	0.1032282305385808	-1.3287200927734375	0.05229187011718749
44	0.10368451866418138	-1.3286590576171875	0.05233764648437499
45	0.10413379794497854	-1.32830810546875	0.0523681640625
46	0.10459193050342214	-1.3283233642578125	0.0524139404296875
47	0.10503383205284723	-1.327667236328125	0.05242919921875
48	0.1054879068590362	-1.3275146484375	0.0523681640625
49	0.1059298084084613	-1.3268585205078127	0.052520751953125
50	0.10638941651317932	-1.3269348144531252	0.05253601074218749
51	0.10683722024770205	-1.3265228271484375	0.052490234375
52	0.10729092616732241	-1.32635498046875	0.05245971679687499
53	0.10772913885106149	-1.3255462646484375	0.05255126953125
54	0.10819870689313177	-1.3260345458984373	0.05268859863281251
55	0.10863691957687084	-1.325225830078125	0.0524749755859375
56	0.10908988772335401	-1.3250274658203125	0.0524749755859375
57	0.10952514931454427	-1.3240966796875002	0.05265808105468749
58	0.10999729956259477	-1.3246917724609377	0.05267333984375
59	0.1104310856075106	-1.3236999511718748	0.0523529052734375
60	0.11089069371222862	-1.3237762451171877	0.0527191162109375
61	0.11134218631243736	-1.323516845703125	0.0524749755859375
62	0.11180695882911582	-1.3238067626953125	0.052764892578125
63	0.11225771365618736	-1.323516845703125	0.0526275634765625
64	0.11270957514296473	-1.323272705078125	0.0527191162109375
