index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
4309	0.1081913046019991	-1.306793212890625	0.05670166015625
4308	0.10868005474563672	-1.3080749511718752	0.056671142578125
4307	0.10910609417261191	-1.3067626953125	0.05650329589843751
4306	0.10958894213115186	-1.3078002929687498	0.05686950683593751
4305	0.11002199040293051	-1.3067779541015625	0.056732177734375
4304	0.11050557613460768	-1.3078460693359375	0.0568389892578125
4303	0.11094194438550373	-1.3069610595703125	0.05700683593749999
4302	0.11142036570522047	-1.3078155517578125	0.05676269531249999
4301	0.11184308515307824	-1.306365966796875	0.05700683593749999
4300	0.11232335090563798	-1.3072967529296875	0.0566864013671875
4299	0.11275898138339685	-1.3063812255859375	0.056976318359375
4298	0.11323371383742756	-1.3070831298828125	0.056793212890625
4297	0.11367266429430384	-1.306304931640625	0.0570831298828125
4296	0.11414555231549153	-1.3069305419921875	0.05706787109375
4295	0.11459077384403404	-1.3064117431640625	0.05718994140625
4294	0.11504890640247764	-1.306427001953125	0.05686950683593751
4293	0.11549339015788296	-1.3058776855468752	0.0572967529296875
4292	0.11595705601485559	-1.306121826171875	0.0567779541015625
4291	0.11642736183006308	-1.306640625	0.05708312988281249
4290	0.11687553445115442	-1.306243896484375	0.057220458984375
4289	0.11733108480361781	-1.3061523437500002	0.0572509765625
4288	0.1177755685590231	-1.3056030273437498	0.05711364746093751
4287	0.11824218550854457	-1.30596923828125	0.0573883056640625
4286	0.1186885136967929	-1.3054962158203125	0.0572357177734375
4285	0.11915402398660854	-1.3058166503906248	0.05743408203125001
4284	0.11959260555691623	-1.305023193359375	0.057342529296875
4283	0.12005848473330048	-1.30535888671875	0.0574188232421875
4282	0.12050001739615698	-1.3046875	0.05712890625
4281	0.12098138980842252	-1.3056640625	0.0572967529296875
4280	0.1214188647190244	-1.3048248291015625	0.057281494140625
4279	0.12189396605962372	-1.3055419921875	0.057647705078125
4278	0.12232590767169654	-1.304473876953125	0.0574493408203125
4277	0.12279916457945284	-1.30511474609375	0.057464599609375
4276	0.1232366394900547	-1.3042755126953125	0.057373046875
4275	0.12371358526349703	-1.3050689697265625	0.05755615234375001
4274	0.12414442021586405	-1.3039550781249998	0.0574798583984375
4273	0.12462284153558079	-1.3048095703125	0.0574951171875
4272	0.125052569828242	-1.30364990234375	0.057586669921875
4271	0.12553025337482154	-1.304473876953125	0.05760192871093751
4270	0.12596883494512923	-1.303680419921875	0.057586669921875
4269	0.12644836292455175	-1.3045806884765627	0.05760192871093751
4268	0.12688989558740826	-1.3039093017578125	0.0576934814453125
4267	0.12735761919663552	-1.3043212890625	0.0575408935546875
4266	0.12780726736400128	-1.3039855957031252	0.0578155517578125
4265	0.1282698265612681	-1.3041839599609375	0.0575714111328125
4264	0.12872427025402566	-1.304046630859375	0.057647705078125
